"id"	"checksum"	"finished_at"	"migration_name"	"logs"	"rolled_back_at"	"started_at"	"applied_steps_count"
"02268334-f936-447d-9e38-c5ca1fe9e3bb"	"a4d45806272844b320879ce4d6d4e7fee3f18ac04c117aadf05761e5bef284d2"	"6/5/2024 12:21:34.653"	"20240506121414_modify_sale_attr_sale_attr_value"			"6/5/2024 12:21:34.594"	"1"
"08c4d2dc-1f1e-4633-acc4-4d63c2e2c308"	"a24945dfab1d629437fc62d69540b84fa74a8d1d6971eae40b4c82e170297b47"	"6/5/2024 13:29:14.079"	"20240506132914_modify_sale_attr_value"			"6/5/2024 13:29:14.02"	"1"
"08d1186a-b348-46e5-94c6-2bf9c4778b37"	"74bb1ef3cb2fea0fc7c1f7fc1748e8b253a1f401d71716344624313fb4296fa2"	"6/5/2024 12:21:34.677"	"20240506122037_modify_spu"			"6/5/2024 12:21:34.654"	"1"
"1580eb39-e6e0-43c4-abef-a08b7d5811bc"	"f3b702a418da1f10a296c4577fa91aacf69fc52851f1e78bf7b2c23bc57e6aa9"	"6/5/2024 12:21:34.29"	"20240506052150_modify_sale_attr"			"6/5/2024 12:21:34.248"	"1"
"15da010e-8433-43de-a72f-ff7ee9e7cf4d"	"49af7a68cb7246cbc8437de18df4f74c406cc355abc66cc8aea3db4420f9e76a"	"6/5/2024 12:21:34.026"	"20240430033901_update_category"			"6/5/2024 12:21:34.016"	"1"
"27b1cc3c-d451-4521-946a-3c8c8de98501"	"568608335039eb1343f819da98d6c8ffd7e601d0d573d4a7b68a056f767af598"	"6/5/2024 12:21:33.806"	"20240428205022_role"			"6/5/2024 12:21:33.79"	"1"
"305765ec-259f-47d7-9673-e58f497489d2"	"93e13d7908388d5f479e32acf1012217b5ebb47849f1b47d003154c97d13f050"	"6/5/2024 12:21:33.789"	"20240426191349_update_user"			"6/5/2024 12:21:33.778"	"1"
"3a252c27-1d70-4fb1-a407-dff1d0ce3cbc"	"6821fd294631a25c55671d597268d161ad9811a5751a4ddce4045a5bc290147c"	"6/5/2024 12:21:34.015"	"20240429223051_attr_and_attr_value"			"6/5/2024 12:21:33.93"	"1"
"5178706e-638d-4497-ba64-41a80d3080e8"	"2fd0bf5fdd2a4694a465e3468f865796bc41fd58c53bf6033f5f028bc0f958ec"	"6/5/2024 12:21:33.918"	"20240429093129_trademark"			"6/5/2024 12:21:33.908"	"1"
"59c1cd7b-85ed-4fb7-bc87-c45a23d9532a"	"6e2809fb9ad409746d56aedbd323f35979301c42ee6d7739a59a3ce1a2219356"	"8/5/2024 04:47:06.175"	"20240508044706_sku_img"			"8/5/2024 04:47:06.132"	"1"
"5d21a9d3-657a-42b5-8609-0140a20d0416"	"47ec8997ec2b66c79d003a57a876c1e6c339addd13c7cb9a49368e4fc8a292b5"	"6/5/2024 14:40:14.714"	"20240506144014_modify_spu_img_sale_attr_sale_attr_value"			"6/5/2024 14:40:14.593"	"1"
"6aeea838-1b00-4cc7-a723-d69dafd8de8c"	"9e5a5b23a7f7c5a749d9a0b97d8b5bededf4265d5fa136440199f56ccce8b39b"	"7/5/2024 01:13:37.313"	"20240507011337_modify_attr_attr_value"			"7/5/2024 01:13:37.218"	"1"
"6e6acd30-9564-4d92-9d86-ea411011ff21"	"d7f5a4d42dd963fbe219ca1669a9365b1ae0252ffb617f2fcb930c6a579571d0"	"6/5/2024 12:21:33.824"	"20240428222157_update_role"			"6/5/2024 12:21:33.808"	"1"
"7807e40f-ca83-4c75-af2c-a8c3d9cefb1d"	"919fd261c3bf1b776c7f83acecc019d380f2bd333f342510fec593971a56f515"	"7/5/2024 08:56:51.083"	"20240507085650_update_sku_attr_sku_sale_attr"			"7/5/2024 08:56:51.007"	"1"
"88bfdadf-ef74-4698-8c49-507b20c3d1fd"	"5fcbfd012dd2d5cc603ecae38ce4677a971a34a3e017be39769c807ec6af66ff"	"6/5/2024 12:21:34.163"	"20240506051500_spu_img_sale_attr_sale_attr_value"			"6/5/2024 12:21:34.05"	"1"
